Total Count,Tweet
94,RT @JessieJaneDuff: Hillary warned not to take $12 mil from corrupt Morocco King. Can she ever resist? Making Money @cvpayne #Wikileaks htt…
92,"RT @davidsirota: Things I learned on Twitter: Hillary Clinton ""avidly and viciously supported single payer through her whole career"" https:…"
91,"RT @GoTTdiva: Hillary, go home. You are drunk https://t.co/2xXlLADOV8"
91,"RT @GrrrGraphics: ""The Dangers of Hillary Clinton"" &amp; Obama planting the seeds of terror across America https://t.co/Oj98iIxEAZ https://t.co…"
81,"RT @BigStick2013: WOW! TRUMP Cleveland Rally Has 1.7 MILLION Views – Hillary Cleveland Rally has 3,825 Views https://t.co/jVwyZkpk3l via @g…"
80,RT @Iavensun: just cause you're voting for hillary doesn't mean that you support her views or would you rather give trump the nuclear codes?
78,"RT @LindaSuhler: She will END the #2A
#Wikileaks: Hillary Clinton Had #GunControl Supporters Planted In Town Hall Audience
#Crooked
https:/…"
76,RT @kylegotjokes: When you're sitting between a Trump supporter and Hillary supporter and realize they're equally stupid cuz the world is b…
75,"RT @LeahR77: Hillary On Gaddafi's Lynching ""WE Came WE Saw HE Died""  Laughs 
#DebateNight https://t.co/6ij8v6jTJK"
74,RT @TStig822: The Clinton Mantra #Hillary #HillaryForPrison #notHillary #BillClinton @BernieSanders https://t.co/uYkMc4jfsu
72,RT @xebec78: Chelsea Clinton email to Podesta:  Foundation not paying bills.  Didn't Hillary accuse Trump of screwing the little guy?  #Pod…
68,"RT @Sandylatin16: After Hillary Exposed‘extremely classified’ Nuclear Response Time, 88 US Generals Stand Together Against Hillary… https:/…"
67,"RT @60Minutes: ""When I think I'm right, nothing bothers me,"" said @realDonaldTrump during his first #60Minutes appearance https://t.co/Q23l…"
66,"RT @reg1776: I look forward to the ""WHAT WE MISSED""  segments on the MSM after Trump wipes the floor with Hillary on November 8th. https://…"
64,"RT @ToscaAusten: BOOM! Julian Assange Reveals Hillary’s Criminals ! Hackers aren’t Russian , they are DEMOCRAT “WHISTLEBLOWERS” ! https://t…"
63,"RT @Chellaney: American democracy or plutocracy? With her cozy ties to wealthy interests, Hillary collected $1.14 billion by September-end…"
58,"RT @LindaSuhler: Jill Stein Slams #CrookedHillary's 'Disturbing' Laughter at Lynching of African Ruler
#Sick
https://t.co/H7VyRpVktv
https:…"
58,"RT @LindaSuhler: ""Hillary Clinton took up to $25 million from Saudi Arabia, where being gay is punishable by DEATH.”

#NeverHillary #Radica…"
57,"RT @albamonica: Hillary Clinton and Tim Kaine campaign together for the first time since Labor Day at a rally in Pittsburgh, PA https://t.c…"
57,RT @MrEdTrain: I smell a Hillary Muslim Tax increase in the works ! Don't even think about voting for HER 😬#NeverHillary #LockHerUp #draint…
57,RT @MrEdTrain: I smell a Hillary Muslim Tax increase in the works ! Don't even think about voting for HER 😬#NeverHillary #LockHerUp #draint…
56,"RT @wpjenna: A quick look at the anti-Hillary merchandise for sale outside Donald Trump's rally in Naples, Florida. https://t.co/sC53d9vcrL"
55,RT @NotJoshEarnest: The Assistant FBI Director that took Governor McCauliffe's bribe will be promoted to Attorney General by Hillary Clinto…
53,RT @ThisIsWhyTrump: And now we have the proof Hillary paid POLL companies to twist POLLS in her favor and also CREATE FAKE POLLS. #CNN #Fox…
53,"RT @aduanebrown: Hillary Clinton is like @KimKardashian, everyone knows them, but can't ever figure out what the hell they've accomplished.…"
53,"RT @bocavista2016: Hillary supported #NAFTA &amp; #TPP until it was unpopular to do so

She'll NEVER bring JOBS back
https://t.co/IByEY6oHCp
#t…"
48,RT @CapehartJ: Trump treated essential pillar of American democracy with seriousness of a boardroom moment on “The Apprentice.” https://t.c…
47,RT @CNN: Goldman Sachs CEO on Hillary Clinton: 'Of course we engage' on policy https://t.co/99LW8vbwol https://t.co/SmN7kg6Z14
46,"RT @GoldStarMomTX55: The Dangers of Hillary Clinton
CAUSES UNLAWFUL BEHAVIOR
✔VOTE #TRUMP
REASON #16 OF 30
#LawAndOrder 
#TrumpsArmy 
https…"
44,RT @LindaSuhler: Reported Clinton 'fixer' Jeff Rovin on #Hannity tonight said Hillary's relationship with Vince Foster was an 'open secret.…
42,"RT @LindaSuhler: TRUMP: HILLARY’S $12M MOROCCAN #PAYTOPLAY SCHEME IS EMBODIMENT OF GOVT CORRUPTION
#CrookedHillary #DrainTheSwamp
https://t…"
42,RT @1Aksp: If @realDonaldTrump will #PardonJulian . Hillary stands no chance. #ShowusJulian https://t.co/OgAurA4oNL
38,"RT @slava381977: Vote for Hillary? Waiting for you, very exciting, tough life, I hope you will survive a nuclear winter. Good LUCK! #Trump2…"
36,RT @carrieksada: ~The dangers of Hillary Clinton~ that she &amp; her Muslim Brotherhood aide Huma r on a mission 2 import more #rapefugees to t…
36,"RT @theodwest: @SeanHaniity interviewing Mr. Fixer Jeff Rovin right now! #PodestaEmails17 #ClintonScandals #MAGA #projectveritas
https://t.…"
35,"RT @JesseFFerguson: MN Star Tribune backs HRC

""With a formidable command of policy and a deep dedication to public service""

https://t.co/…"
34,RT @RealMuckmaker: The right says Hillary Clinton is responsible for her husband. Why isn't Melania Trump? https://t.co/IwTwMKZ2qX
33,RT @MJackson3258: @Lambykins60 @GovMikeHuckabee or Hillary paying rioters?
